,open,high,low,adjusted close,volume,RSI_14,STO_14,CHO,returns
2010-07-30,66.44,66.99,65.62,66.87,624930,67.97286983407243,100.0,637629.5644480456,0.005563909774436215
2010-08-02,68.85,68.85,67.32,68.31,180061,73.12743863338859,100.0,635137.7531697527,0.021534320323014722
2010-08-03,68.0,68.0,67.29,67.63,199675,67.59496012020523,89.47368421052622,573694.0890487954,-0.009954618650270919
2010-08-04,67.73,67.87,66.92,67.7,198704,67.86448474628858,90.55727554179568,537000.4996982254,0.0010350436196955304
2010-08-05,67.62,68.05,67.41,68.05,193257,69.24200684777122,95.28130671506344,534662.122264063,0.005169867060561106
2010-08-06,67.35,67.88,67.05,67.7,428120,66.18660661990377,86.47450110864749,562236.4923412018,-0.005143277002204183
2010-08-09,67.79,67.85,67.13,67.3,427213,62.777213166915466,77.09750566893415,450662.93104881234,-0.005908419497784423
2010-08-10,66.65,66.8,66.35,66.8,322653,58.706347558921614,49.833887043189286,466712.16224294156,-0.007429420505200568
2010-08-11,66.3,66.3,64.09,65.1,227649,47.44188932186587,0.0,424622.04050985724,-0.025449101796407247
2010-08-12,65.2,65.49,64.7,65.49,566480,49.820649463347635,12.149532710280361,549044.9870272428,0.005990783410138256
2010-08-13,65.51,65.89,65.44,65.5,601800,49.88328395970834,12.461059190031298,409612.1026909724,0.00015269506794934884
2010-08-16,65.5,66.2,65.29,66.12,470650,53.738794314982066,31.77570093457968,438756.1161968857,0.009465648854961817
2010-08-17,66.13,67.15,66.13,67.15,489914,59.33564108314127,63.862928348909854,566673.4747950453,0.015577737447066031
2010-08-18,67.21,67.21,66.39,66.98,191470,58.08653782501534,58.56697819314657,594233.8965129238,-0.0025316455696202667
2010-08-19,66.94,67.11,66.14,66.4,469660,53.916249055599685,40.4984423676015,482160.7813471332,-0.008659301283965304
2010-08-20,66.02,66.27,65.68,66.2,307930,52.51611407721949,37.28813559322059,467208.665513549,-0.003012048192771122
2010-08-23,66.4,66.48,65.32,65.32,164398,46.76197399427708,7.457627118644022,366309.9212622158,-0.01329305135951675
2010-08-24,63.82,65.0,63.82,64.8,320496,43.7139836440945,0.0,359140.12472415715,-0.007960808328230207
2010-08-25,64.8,64.8,63.6,64.49,768465,41.9581626116262,0.0,441738.52616548166,-0.004783950617283983
2010-08-26,64.8,65.05,63.29,63.34,478946,36.156331862868015,0.0,291637.4555747807,-0.01783222204993007
2010-08-27,63.5,65.15,63.3,65.15,283250,48.27860898411414,47.50656167979006,293844.97618996724,0.028575939374802628
2010-08-30,65.0,65.0,63.7,63.73,206841,41.60439614135989,10.236220472440767,205259.35287191905,-0.02179585571757492
2010-08-31,63.65,64.59,63.6,64.5,324656,45.966495037009736,30.44619422572168,234877.72282369994,0.012082221873529031
2010-09-01,64.7,66.35,64.7,66.28,451994,54.43917650662201,77.16535433070855,357255.48834617436,0.027596899224806126
2010-09-02,66.19,66.47,65.73,66.3,430956,54.52545861410238,77.69028871391055,448961.54458864033,0.0003017501508750797
