,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-03-25,66.75,67.45,66.7,66.91,66.91,387384,0.0,1.0
2011-03-28,67.45,67.45,66.39,66.39,66.39,300101,0.0,1.0
2011-03-29,66.62,67.1,66.25,66.6,66.6,370175,0.0,1.0
2011-03-30,66.95,67.22,66.74,67.21,67.21,124824,0.0,1.0
2011-03-31,67.31,67.81,67.22,67.55,67.55,429287,0.0,1.0
2011-04-01,68.0,68.6,67.9,68.49,68.49,867220,0.0,1.0
2011-04-04,68.51,68.97,68.41,68.91,68.91,710598,0.0,1.0
2011-04-05,68.51,69.24,68.51,68.92,68.92,405180,0.0,1.0
2011-04-06,69.25,69.27,68.13,68.21,68.21,284443,0.0,1.0
2011-04-07,68.21,68.5,67.88,68.24,68.24,1499019,0.0,1.0
2011-04-08,68.48,68.5,67.64,67.93,67.93,229227,0.0,1.0
2011-04-11,67.95,68.37,67.2,67.29,67.29,257765,0.0,1.0
2011-04-12,66.9,67.15,65.92,66.1,66.1,436763,0.0,1.0
2011-04-13,66.9,66.9,65.46,65.75,65.75,643722,0.0,1.0
2011-04-14,65.8,66.21,65.28,65.5,65.5,399419,0.0,1.0
2011-04-15,66.08,66.09,65.01,65.87,65.87,444695,0.0,1.0
2011-04-18,65.82,65.82,64.0,64.75,64.75,805420,0.0,1.0
2011-04-19,64.75,65.49,64.75,65.24,65.24,1302429,0.0,1.0
2011-04-20,66.13,66.25,65.93,66.25,66.25,282436,0.0,1.0
2011-04-25,66.02,66.3,65.73,66.11,66.11,163634,0.0,1.0
2011-04-26,66.15,66.46,65.82,66.16,66.16,1701562,0.0,1.0
2011-04-27,66.49,66.49,65.1,65.4,65.4,319160,0.0,1.0
2011-04-28,65.49,65.49,64.27,64.87,64.87,406263,0.0,1.0
2011-04-29,64.88,65.5,64.61,65.2,65.2,1055636,0.0,1.0
2011-05-02,65.5,65.5,64.51,64.79,64.79,407863,0.0,1.0
2011-05-03,64.6,64.6,63.41,63.49,63.49,488241,0.0,1.0
2011-05-04,63.98,63.98,62.81,62.9,62.9,646986,0.0,1.0
2011-05-05,62.51,63.48,62.18,62.68,62.68,567221,0.0,1.0
2011-05-06,63.65,63.93,63.1,63.68,63.68,273651,0.0,1.0
2011-05-09,63.68,63.92,63.39,63.8,63.8,277255,0.0,1.0
2011-05-10,63.93,64.34,63.8,64.01,64.01,335820,0.0,1.0
2011-05-11,63.7,63.7,62.8,62.95,62.95,227945,0.0,1.0
2011-05-12,62.5,63.51,62.32,63.28,63.28,1012863,0.0,1.0
2011-05-13,63.36,63.36,62.3,62.4,62.4,391429,0.0,1.0
2011-05-16,62.6,63.06,61.89,61.99,61.99,545060,0.0,1.0
2011-05-17,62.09,62.9,61.61,62.81,62.81,461345,0.0,1.0
2011-05-18,62.8,63.3,62.09,62.11,62.11,353884,0.0,1.0
2011-05-19,62.79,62.8,61.42,61.47,61.47,308155,0.0,1.0
2011-05-20,61.46,62.2,61.25,61.74,61.74,371225,0.0,1.0
2011-05-23,60.9,61.68,60.88,61.62,61.62,127167,0.0,1.0
2011-05-24,61.8,62.6,61.8,62.6,62.6,314116,0.0,1.0
2011-05-25,62.4,63.05,62.2,62.6,62.6,225455,0.0,1.0
2011-05-26,62.72,63.5,62.46,63.5,63.5,273131,0.0,1.0
2011-05-27,63.5,63.76,63.28,63.5,63.5,236001,0.0,1.0
2011-05-30,63.56,63.66,63.1,63.11,63.11,93066,0.0,1.0
2011-05-31,63.61,64.0,63.17,63.81,63.81,333055,0.0,1.0
2011-06-01,63.58,63.89,62.57,62.65,62.65,526572,0.0,1.0
2011-06-02,62.9,63.39,62.44,63.39,63.39,366385,0.0,1.0
2011-06-03,63.15,64.15,62.86,63.5,63.5,405222,0.0,1.0
2011-06-06,63.58,63.59,62.12,62.19,62.19,303142,0.0,1.0
2011-06-07,62.77,62.98,62.27,62.41,62.41,243590,0.0,1.0
2011-06-08,62.14,62.56,61.87,62.3,62.3,324180,0.0,1.0
2011-06-09,62.15,62.93,62.12,62.56,62.56,310700,0.0,1.0
2011-06-10,62.63,62.63,61.69,61.82,61.82,301918,0.0,1.0
2011-06-13,61.87,62.15,61.11,61.11,61.11,314468,0.0,1.0
2011-06-14,61.74,61.89,61.2,61.2,61.2,263809,0.0,1.0
2011-06-15,60.7,61.24,60.5,60.76,60.76,606028,0.0,1.0
2011-06-16,60.95,61.27,59.77,60.09,60.09,908551,0.0,1.0
2011-06-17,60.69,60.69,59.79,60.3,60.3,419935,0.0,1.0
2011-06-20,59.85,60.83,59.85,60.4,60.4,565014,0.0,1.0
2011-06-21,60.55,60.77,60.43,60.48,60.48,345888,0.0,1.0
